outcome,model,task,task_var,term,estimate,std_error,t_stat,p_value,r2,adj_r2,nobs
inequality,single_task_industry_FE,abstract,task_abstract,(Intercept),-0.13852208547922304,0.23484197578703356,-0.5898523252284412,0.5597064956128502,0.12933754487188842,0.013249217521473455,35.0
inequality,single_task_industry_FE,abstract,task_abstract,task_abstract,0.038106377474902364,0.047510202325224106,0.8020672531354583,0.4288221112550672,0.12933754487188842,0.013249217521473455,35.0
inequality,single_task_industry_FE,abstract,task_abstract,industry: Manufacturing_Construction,0.010210882470839913,0.2542877577099031,0.040154833102459875,0.968235732106803,0.12933754487188842,0.013249217521473455,35.0
inequality,single_task_industry_FE,abstract,task_abstract,industry: Services,0.014213358826526508,0.25428775770990303,0.05589478217327873,0.9557962352782581,0.12933754487188842,0.013249217521473455,35.0
inequality,single_task_industry_FE,abstract,task_abstract,industry: Trade,0.42795728459619176,0.2621616709571291,1.6324174431516152,0.11304560171049167,0.12933754487188842,0.013249217521473455,35.0
inequality,single_task_industry_FE,routine,task_routine,(Intercept),-0.16566566590940673,0.3099459124531908,-0.5344986310617217,0.5969359686134662,0.12083075163448442,0.0036081851857490133,35.0
inequality,single_task_industry_FE,routine,task_routine,task_routine,0.034717754825062175,0.05895308374252927,0.5889048141516723,0.5603337006853484,0.12083075163448442,0.0036081851857490133,35.0
inequality,single_task_industry_FE,routine,task_routine,industry: Manufacturing_Construction,0.010210882470840338,0.2555269952632023,0.039960092906515615,0.968389695393196,0.12083075163448442,0.0036081851857490133,35.0
inequality,single_task_industry_FE,routine,task_routine,industry: Services,0.014213358826526927,0.2555269952632023,0.05562370743602507,0.9560103828010642,0.12083075163448442,0.0036081851857490133,35.0
inequality,single_task_industry_FE,routine,task_routine,industry: Trade,0.43876501854824795,0.26364347022548934,1.6642362436398688,0.10647764840602081,0.12083075163448442,0.0036081851857490133,35.0
inequality,single_task_industry_FE,manual,task_manual,(Intercept),-0.017825836470472638,0.23342476258844583,-0.07636651858526937,0.9396345268150967,0.11066759398995496,-0.007910060144717734,35.0
inequality,single_task_industry_FE,manual,task_manual,task_manual,0.0003617198460181921,0.11387602156058185,0.0031764355749446145,0.9974866040740916,0.11066759398995496,-0.007910060144717734,35.0
inequality,single_task_industry_FE,manual,task_manual,industry: Manufacturing_Construction,0.010210882470840243,0.25699969180033133,0.039731107844181,0.9685707345509313,0.11066759398995496,-0.007910060144717734,35.0
inequality,single_task_industry_FE,manual,task_manual,industry: Services,0.014213358826526828,0.25699969180033133,0.055304964480539134,0.9562621922157063,0.11066759398995496,-0.007910060144717734,35.0
inequality,single_task_industry_FE,manual,task_manual,industry: Trade,0.43204892915650345,0.26594198754572335,1.62459840638072,0.11470995883976501,0.11066759398995496,-0.007910060144717734,35.0
